ticker,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2010-01-04T00:00:00Z,214.01,214.5,212.38,213.43,17633200,26.5346767522,26.5954308833,26.3325762751,26.462763699,123432523,0,1
AAPL,2010-01-05T00:00:00Z,214.38,215.59,213.25,214.6,21496600,26.5805523206,26.7305778281,26.4404458549,26.6078296856,150476350,0,1
AAPL,2010-01-06T00:00:00Z,210.97,215.23,210.75,214.38,19720000,26.157753163,26.68594214,26.130475798,26.5805523206,138040138,0,1
AAPL,2010-01-07T00:00:00Z,210.58,212,209.05,211.75,17040400,26.1093978341,26.2854608264,25.9196961593,26.2544638207,119282919,0,1
AAPL,2010-01-08T00:00:00Z,211.98,212,209.06,210.3,15986100,26.282981066,26.2854608264,25.9209360395,26.0746811877,111902811,0,1
AAPL,2010-01-11T00:00:00Z,210.11,213,208.45,212.8,16508200,26.0511234634,26.4094488492,25.8453033456,26.3846512446,115557515,0,1
AAPL,2010-01-12T00:00:00Z,207.72,209.77,206.42,209.19,21230700,25.754792089,26.0089675356,25.5936076594,25.9370544824,148615048,0,1
AAPL,2010-01-13T00:00:00Z,210.65,210.93,204.1,207.87,21639000,26.1180769957,26.1527936421,25.3059554466,25.7733902924,151473151,0,1
AAPL,2010-01-14T00:00:00Z,209.43,210.46,209.02,210.11,15460500,25.9668116079,26.0945192714,25.9159765186,26.0511234634,108223608,0,1
AAPL,2010-01-15T00:00:00Z,205.93,211.6,205.87,210.93,21216700,25.5328535282,26.2358656173,25.5254142469,26.1527936421,148517048,0,1
AAPL,2010-01-19T00:00:00Z,215.04,215.19,207.24,208.33,26071700,26.6623844156,26.680982619,25.695277838,25.8304247829,182502082,0,1
AAPL,2010-01-20T00:00:00Z,211.725,215.55,209.5,214.91,21862600,26.2513641202,26.7256183072,25.9754907695,26.6462659727,153038353,0,1
AAPL,2010-01-21T00:00:00Z,208.072,213.3138,207.21,212.08,21719800,25.798435873,26.4483562907,25.6915581974,26.2953798682,152038752,0,1
AAPL,2010-01-22T00:00:00Z,197.75,207.5,197.16,206.78,31491700,24.518631502,25.727514724,24.4454785686,25.6382433476,220442120,0,1
AAPL,2010-01-25T00:00:00Z,203.075,204.7,200.19,202.51,38060700,25.1788677232,25.3803482602,24.8211622775,25.1088144904,266425166,0,1
AAPL,2010-01-26T00:00:00Z,205.94,213.71,202.58,205.95,66682500,25.5340934085,26.4974803453,25.117493652,25.5353332887,466777966,0,1
AAPL,2010-01-27T00:00:00Z,207.884,210.58,199.531,206.85,61520300,25.7751261247,26.1093978341,24.7394541705,25.6469225092,430642530,0,1
AAPL,2010-01-28T00:00:00Z,199.29,205.5,198.7,204.93,41910800,24.7095730571,25.4795386784,24.6364201236,25.4088655055,293375893,0,1
AAPL,2010-01-29T00:00:00Z,192.063,202.2,190.25,201.08,44498300,23.8135116165,25.0703782033,23.5887213313,24.9315116178,311488411,0,1
AAPL,2010-02-01T00:00:00Z,194.73,196,191.3,192.37,26781300,24.1441876732,24.3016524622,23.7189087552,23.8515759395,187469287,0,1
AAPL,2010-02-02T00:00:00Z,195.86,196.32,193.38,195.91,24940800,24.284294139,24.3413286294,23.9768038425,24.2904935401,174585774,0,1
AAPL,2010-02-03T00:00:00Z,199.23,200.2,194.42,195.17,21976000,24.7021337757,24.8224021578,24.1057513862,24.1987424033,153832153,0,1
AAPL,2010-02-04T00:00:00Z,192.05,198.37,191.57,196.73,27059000,23.8118997722,24.5955040761,23.7523855213,24.3921637188,189413189,0,1
AAPL,2010-02-05T00:00:00Z,195.46,196,190.85,192.625,30368100,24.2346989299,24.3016524622,23.6631141449,23.8831928853,212576912,0,1
AAPL,2010-02-08T00:00:00Z,194.12,197.88,194,195.69,17081100,24.0685549794,24.534749945,24.0536764166,24.2632161751,119567819,0,1
AAPL,2010-02-09T00:00:00Z,196.19,197.5,194.75,196.42,22603100,24.3252101865,24.4876344963,24.1466674337,24.3537274317,158221858,0,1
AAPL,2010-02-10T00:00:00Z,195.116,196.6,194.26,195.89,13227200,24.19204705,24.3760452758,24.0859133025,24.2880137797,92590492,0,1
AAPL,2010-02-11T00:00:00Z,198.67,199.75,194.06,194.88,19655200,24.6327004829,24.7666075475,24.061115698,24.1627858767,137586537,0,1
AAPL,2010-02-12T00:00:00Z,200.38,201.64,195.5,198.11,23409600,24.8447200019,25.0009449106,24.2396584508,24.5632671902,163867363,0,1
AAPL,2010-02-16T00:00:00Z,203.4,203.69,201.52,201.94,19419200,25.2191638306,25.2551203572,24.9860663478,25.0381413174,135934535,0,1
AAPL,2010-02-17T00:00:00Z,202.55,204.31,200.86,204.19,15585600,25.1137740113,25.3319929313,24.9042342528,25.3171143686,109099309,0,1
AAPL,2010-02-18T00:00:00Z,202.928,203.89,200.92,201.63,15100900,25.1606414839,25.2799179618,24.9116735342,24.9997050303,105706405,0,1
AAPL,2010-02-19T00:00:00Z,201.67,203.2,201.11,201.86,14838200,25.0046645512,25.1943662261,24.9352312585,25.0282222756,103867503,0,1
AAPL,2010-02-22T00:00:00Z,200.416,202.5,199.19,202.34,13948700,24.8491835707,25.1075746101,24.6971742548,25.0877365265,97640997,0,1
AAPL,2010-02-23T00:00:00Z,197.059,201.33,195.71,200,20539100,24.4329557783,24.9625086235,24.2656959356,24.7976045532,143773843,0,1
AAPL,2010-02-24T00:00:00Z,200.656,201.44,197.84,198.23,16448800,24.8789406962,24.976147306,24.529790424,24.5781457529,115141715,0,1
AAPL,2010-02-25T00:00:00Z,202,202.86,196.89,197.38,23754500,25.0455805988,25.1522102983,24.4120018024,24.4727559336,166281666,0,1
AAPL,2010-02-26T00:00:00Z,204.62,205.17,202,202.38,18123600,25.3704292184,25.4386226309,25.0455805988,25.0926960474,126865326,0,1
AAPL,2010-03-01T00:00:00Z,208.99,209.5,205.45,205.75,19646200,25.9122568779,25.9754907695,25.4733392773,25.5105356841,137523537,0,1
AAPL,2010-03-02T00:00:00Z,208.85,210.83,207.74,209.93,20233800,25.8948985547,26.1403948398,25.7572718494,26.0288056193,141636741,0,1
AAPL,2010-03-03T00:00:00Z,209.33,209.87,207.94,208.94,13287600,25.9544128056,26.0213663379,25.782069454,25.9060574768,93013293,0,1
AAPL,2010-03-04T00:00:00Z,210.71,210.92,208.63,209.28,13072900,26.125516277,26.1515537618,25.8676211897,25.9482134045,91510391,0,1
AAPL,2010-03-05T00:00:00Z,218.95,219.7,214.63,214.94,32129300,27.1471775846,27.2401686017,26.6115493263,26.6499856133,224905324,0,1
AAPL,2010-03-08T00:00:00Z,219.08,220.09,218.25,220.01,15353200,27.1632960276,27.2885239306,27.0603859687,27.2786048888,107472507,0,1
AAPL,2010-03-09T00:00:00Z,223.02,225,217.89,218.31,32866400,27.6518088373,27.8973051224,27.0157502805,27.0678252501,230065030,0,1
AAPL,2010-03-10T00:00:00Z,224.84,225.48,223.2,223.8295,21293500,27.8774670387,27.9568193733,27.6741266814,27.7521771417,149054649,0,1
AAPL,2010-03-11T00:00:00Z,225.5,225.5,223.32,223.91,14489300,27.9592991338,27.9592991338,27.6890052441,27.7621581776,101425201,0,1
AAPL,2010-03-12T00:00:00Z,226.6,227.73,225.75,227.37,14868700,28.0956859588,28.2357924245,27.9902961395,28.1911567363,104081004,0,1
AAPL,2010-03-15T00:00:00Z,223.84,225.5,220.25,225.38,17625100,27.753479016,27.9592991338,27.3083620142,27.944420571,123375823,0,1
AAPL,2010-03-16T00:00:00Z,224.45,224.98,222.51,224.18,15961000,27.8291117099,27.8948253619,27.5885749457,27.7956349437,111727111,0,1
AAPL,2010-03-17T00:00:00Z,224.12,226.45,223.27,224.9,16105600,27.7881956623,28.0770877554,27.682805843,27.8849063201,112739312,0,1
AAPL,2010-03-18T00:00:00Z,224.65,225,222.61,224.1,12218200,27.8539093144,27.8973051224,27.600973748,27.7857159019,85527485,0,1
AAPL,2010-03-19T00:00:00Z,222.2499,225.24,221.23,224.79,19980200,27.556325661,27.9270622478,27.4298702765,27.8712676376,139861539,0,1
AAPL,2010-03-22T00:00:00Z,224.75,226,220.15,220.47,16300700,27.8663081167,28.0212931451,27.295963212,27.3356393792,114105014,0,1
AAPL,2010-03-23T00:00:00Z,228.36,228.78,224.1,225.64,21515400,28.3139048789,28.3659798484,27.7857159019,27.9766574569,150607950,0,1
AAPL,2010-03-24T00:00:00Z,229.37,230.2,227.51,227.64,21349300,28.4391327819,28.5420428408,28.2085150595,28.2246335025,149445249,0,1
